Content,Video title,Video publish time,Duration,Average percentage viewed (%),Regular viewers,Engaged views,Views,Watch time (hours),Subscribers,Average view duration,Impressions,Impressions click-through rate (%)
LKfnJ4dfEZI,Webinar with LinkedIn Senior Software Engineer and Head of Seattle Office,"Aug 12, 2024",7817,3.35,,56,56,4.0785,1,0:04:22,1508,1.26
LvWDJ4f_i-s,"Webinar with Lead IOS developer, Co-founder, and Product Manager.","Feb 19, 2023",1271,8.97,,102,102,3.2309,1,0:01:54,554,5.05
M5poi2fGbog,Grade 12 Unit 1,,7734,4.13,,28,28,2.4862,0,0:05:19,0,
MYLVl7s9uyI,Medicine Basics  Journey of Dr  Loza M,,4492,14.16,,133,133,23.4928,0,0:10:35,0,
N-IvXEC1csU,Trainer Orientation,,2034,1.22,,1,1,0.0069,0,0:00:24,0,
NY09IUqEUwQ,LinkedIn session,,1972,4,,8,8,0.1755,0,0:01:18,0,
Nx-Q0qw50gw,Harvard Ethiopian and Eritrean Student Association Essay Workshop,"Dec 1, 2024",2377,8.44,,113,113,6.2983,5,0:03:20,1803,2.11
PVuS152zTn0,Extracurricular SAT,,3326,4.93,,5,5,0.228,1,0:02:44,0,
QwQzUb4I9BI,ESP - overview,,2022,6.83,,4,4,0.1534,0,0:02:18,0,
RL6a9eX9uAE,Thunderbird company email setup,,92,228.36,,3,3,0.1751,0,0:03:30,0,
TJmBkSkVZ8o,CV writing masterclass,"Nov 16, 2023",4944,8.18,,36,36,4.0456,1,0:06:44,770,2.47
TKsawA6lg7o,Interview with Jelani Nelson hosted by Technoelpisj,"Aug 13, 2024",4065,5.78,,296,296,19.3179,5,0:03:54,2922,5.78
UFX0pqhtTpE,Rejectees!,,4966,10.14,,1,1,0.1399,0,0:08:23,0,
Vey0QjbvogQ,linkedin,,1830,19.21,,12,12,1.1716,0,0:05:51,1,0
Z288jGd8Whc,Webinar with LinkedIn Senior Software Engineer and Head of Seattle Office.,"Feb 8, 2023",7817,7.32,,196,196,31.1352,9,0:09:31,563,8.7
_7TtJQ16UGA,Game#2,,2201,12.47,,7,7,0.5337,0,0:04:34,0,
_WMREISGcHg,Wooster,,3323,22.41,,4,4,0.8275,0,0:12:24,0,
a8F3qCfoPWI,CSS Profile,,4166,2.37,,8,8,0.2195,1,0:01:38,0,
aINjLXVsZR4,"Information Session Nov19,2022","Jan 31, 2023",6064,8.43,,4,4,0.5681,0,0:08:31,0,
aY3hZXZBevc,CA,,2051,3.27,,1,1,0.0186,0,0:01:07,0,
cCAjKpN7mYM,"Webinar with Lead IOS developer, Co-founder, and Product Manager","Aug 12, 2024",877,7.52,,25,25,0.4583,0,0:01:05,182,6.59
cF5SNs-nuD0,ECP Information Session (feb 21),,1193,40.87,,4,4,0.5418,0,0:08:07,0,
dG3oR6R52eQ,Game#1,,1216,16.73,,13,13,0.7347,0,0:03:23,1,0
dR1mKkeMIEQ,Development in Ethiopian Context,"Dec 4, 2023",4064,2.98,,49,49,1.6457,1,0:02:00,918,4.03
dgZRqTGT5OA,Windows 10 clone በአማርኛ in Android studio,"Oct 9, 2021",1121,19.36,,17,17,1.0248,0,0:03:37,215,4.19
e4rHzuddI7M,My Theme,,3617,2.14,,3,3,0.0645,0,0:01:17,0,
eD6sdmEOz5o,"comment ""apply,"" and we will send you the application link","Aug 10, 2024",88,43.86,,5,5,0.0536,0,0:00:38,580,0.34
eZzpv39CwpE,"Ethioware Internship Onboarding, Jul Cohort",,3991,14.22,,50,50,7.8835,1,0:09:27,0,
edfgHBhFiz4,Sibongile Nhlema from Malawi Ep 01,"Aug 17, 2024",531,13.12,,35,35,0.6772,0,0:01:09,5631,0.52
eeoDlNUyKEg,What we address...,,17,114.55,,3,3,0.0162,0,0:00:19,0,
f2Im30q6fH8,SE Training Day 1,,2038,6.69,,13,13,0.4921,0,0:02:16,0,
fKvAUX64jCk,MPH Nutrition  Journey of Dr  Salem,,4210,17.13,,92,92,18.4336,0,0:12:01,0,
gNBHLd0Sux4,GameDev1,,785,23.58,,16,16,0.8226,0,0:03:05,0,
gmz7Nu80JL0,Podcast: A brief conversation with Professor Ricardo,"Apr 19, 2024",2477,2.81,,19,19,0.3678,0,0:01:09,2236,0.45
hKLkxWVBz4Q,Journey of an IOS Developer #1,"Dec 4, 2023",877,13.29,,17,17,0.5504,1,0:01:56,1020,1.37
in9YN9WYmsQ,Software Engineering at Google  Insights from Mr  Yvan Gatete,,2633,19.83,,65,65,9.4251,4,0:08:42,0,
iu5QcuOoer4,dsa code,,2972,14.92,,20,20,2.4642,0,0:07:23,1,0
ja3oFGLS2b0,GDSC Application,,93,88.28,,3,3,0.0684,0,0:01:22,0,
kXjUeFFyv7o,"Webinar with Lead IOS developer, Co-founder, and Product Manager.","Feb 19, 2023",1443,6.54,,65,65,1.7042,0,0:01:34,609,5.42
ke4gAXt8swE,Practical Examples for Python programming,"Mar 14, 2023",3480,4.47,,29,29,1.2528,0,0:02:35,784,0.89
lrMMWiNSkPc,my research highlight,,1400,9.19,,6,6,0.2144,0,0:02:08,0,
qD6hpTM7Kqg,SWE in @Microsoft   Journey of Daniel Mekuriaw,,3721,15.55,,32,32,5.1448,1,0:09:38,1,0
rJLAD19idr0,"Experential AI, Bias, open AI, Language, Capitalism, and more","Aug 12, 2024",2471,5.09,,115,115,4.0157,4,0:02:05,593,1.69
sN0uo3-jouw,"comment ""apply,"" and we will send you the application link","Jul 31, 2024",61,16.91,,140,140,0.3946,0,0:00:10,15,0
sSchsSEDLKE,ForLoop,,1152,32.06,,9,9,0.9232,0,0:06:09,0,
tBeDv0UWDJE,Journey of an IOS Developer #2,"Dec 4, 2023",1271,15.2,,6,6,0.3219,0,0:03:13,1745,0.23
tWDOF2VoKVo,"Webinar with Lead IOS developer, Co-founder, and Product Manager","Aug 12, 2024",1443,5.33,,28,28,0.5985,0,0:01:16,582,3.44
u4Pvi9gHDmg,Application Overview,,7287,1.95,,27,27,1.0631,2,0:02:21,0,
vBMTpPWrJcE,How RIDE came to be,"Dec 4, 2023",4403,0.9,,18,18,0.1981,0,0:00:39,755,2.25
vQFg2bGRvdw,Safaricom Talent Cloud Navigation,"Oct 14, 2024",511,29.81,,770,770,32.5775,26,0:02:32,3313,7.33
wMqxbcmoxHk,CommonApp,,5232,3.99,,1,1,0.0579,0,0:03:28,0,
wl9S8vNfquQ,Installing on windows,,432,29.28,,16,16,0.5623,0,0:02:06,0,
wu6O4iHn_GU,Princeton_interew,,2093,27.96,,3,3,0.4877,0,0:09:45,0,
x26eJv_Rmys,meeting (feb 3),,1034,32.91,,3,3,0.2835,0,0:05:40,0,
xQl9wcbcrhA,Insights from Aeronautical Engineer,,1544,24.38,,37,37,3.8689,0,0:06:16,0,
xhGM-fJMFEI,Interview with Jelani Nelson hosted by Technoelpis,"Mar 25, 2023",4064,6.72,,2766,2766,208.738,36,0:04:33,26158,8.14
z35zoCmIAos,Instructions,,419,38.92,,43,43,1.9478,1,0:02:43,0,
z7X2rvDvq3k,Essay,,7829,0.75,,11,11,0.1784,0,0:00:58,1,0
zwiekbLQV4M,Molecular Biophysics & Biochemistry  The Journey of Merat Semma,,3005,21.13,,56,56,9.8779,0,0:10:35,0,
